claim_id	description	value	source_file	derivation	section	script
R-001	Training set size	183	combined_cohort_summary.csv	sum of Freq	2.1 Datasets	scripts/00_shared/03_normalize_batch.R
R-002	Training RA	103	combined_cohort_summary.csv	sum Freq where group==RA	2.1 Datasets	scripts/00_shared/03_normalize_batch.R
R-003	Training HC	80	combined_cohort_summary.csv	sum Freq where group==HC	2.1 Datasets	scripts/00_shared/03_normalize_batch.R
R-004	Training female	145	combined_cohort_summary.csv	sum Freq where sex==F	2.1 Datasets	scripts/00_shared/03_normalize_batch.R
R-005	Training male	38	combined_cohort_summary.csv	sum Freq where sex==M	2.1 Datasets	scripts/00_shared/03_normalize_batch.R
R-006.GSE110169	Training samples from GSE110169	111	combined_cohort_summary.csv	sum Freq where dataset==GSE110169	2.1 Datasets	scripts/00_shared/03_normalize_batch.R
R-006.GSE93272	Training samples from GSE93272	72	combined_cohort_summary.csv	sum Freq where dataset==GSE93272	2.1 Datasets	scripts/00_shared/03_normalize_batch.R
R-010	Hold-out size	74	internal_val_holdout_meta.csv	row count	2.1 Datasets	scripts/00_shared/03_normalize_batch.R
R-011	Hold-out female RA	36	internal_val_holdout_meta.csv	count group==RA & sex==F	2.1 Datasets	scripts/00_shared/03_normalize_batch.R
R-012	Hold-out female HC	25	internal_val_holdout_meta.csv	count group==HC & sex==F	2.1 Datasets	scripts/00_shared/03_normalize_batch.R
R-013	Hold-out male RA	6	internal_val_holdout_meta.csv	count group==RA & sex==M	2.1 Datasets	scripts/00_shared/03_normalize_batch.R
R-014	Hold-out male HC	7	internal_val_holdout_meta.csv	count group==HC & sex==M	2.1 Datasets	scripts/00_shared/03_normalize_batch.R
R-015	Combined discovery cohort (train + hold-out)	257	combined_cohort_summary.csv + internal_val_holdout_meta.csv	sum of both	2.1 Datasets	scripts/00_shared/03_normalize_batch.R
R-020.GSE93272	Genes after probe collapse, GSE93272	20848	dataset_gene_overlap.csv	column n_genes	2.2 Data pre-processing, leakage-safe partition, normalisation and batch correction	scripts/00_shared/03_dataset_gene_overlap_venn.R
R-020.GSE110169	Genes after probe collapse, GSE110169	19041	dataset_gene_overlap.csv	column n_genes	2.2 Data pre-processing, leakage-safe partition, normalisation and batch correction	scripts/00_shared/03_dataset_gene_overlap_venn.R
R-020.common	Genes after probe collapse, common	15763	dataset_gene_overlap.csv	column n_genes	2.2 Data pre-processing, leakage-safe partition, normalisation and batch correction	scripts/00_shared/03_dataset_gene_overlap_venn.R
R-030.before_qnorm	SD of per-sample medians, before_qnorm	0.574	normalization_diagnostics.csv	row stage==before_qnorm, column median_sd	2.2 Data pre-processing, leakage-safe partition, normalisation and batch correction	scripts/00_shared/03_normalize_batch.R
R-031.before_qnorm	SD of per-sample IQRs, before_qnorm	0.799	normalization_diagnostics.csv	row stage==before_qnorm, column iqr_sd	2.2 Data pre-processing, leakage-safe partition, normalisation and batch correction	scripts/00_shared/03_normalize_batch.R
R-030.after_qnorm	SD of per-sample medians, after_qnorm	0.000334	normalization_diagnostics.csv	row stage==after_qnorm, column median_sd	2.2 Data pre-processing, leakage-safe partition, normalisation and batch correction	scripts/00_shared/03_normalize_batch.R
R-031.after_qnorm	SD of per-sample IQRs, after_qnorm	0.000457	normalization_diagnostics.csv	row stage==after_qnorm, column iqr_sd	2.2 Data pre-processing, leakage-safe partition, normalisation and batch correction	scripts/00_shared/03_normalize_batch.R
R-035	Number of ComBat batches resolved	6	logs/05d_interaction.log	literal 'batches 6' in the cohort summary line	2.2 Data pre-processing, leakage-safe partition, normalisation and batch correction	scripts/00_shared/05d_interaction_report.R
R-040.All	Significant DEGs, All	6422	DEG_summary.csv	row All, col significant	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-041.All	Up in RA, All	2760	DEG_summary.csv	row All, col up_in_RA	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-042.All	Down in RA, All	3662	DEG_summary.csv	row All, col down_in_RA	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-043.All	n / RA / HC, All	183 / 103 / 80	DEG_summary.csv	row All, cols RA+HC	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-044.All	% of transcriptome significant, All	40.7%	DEG_summary.csv	significant / genes_tested	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-040.Female	Significant DEGs, Female	5131	DEG_summary.csv	row Female, col significant	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-041.Female	Up in RA, Female	2238	DEG_summary.csv	row Female, col up_in_RA	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-042.Female	Down in RA, Female	2893	DEG_summary.csv	row Female, col down_in_RA	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-043.Female	n / RA / HC, Female	145 / 86 / 59	DEG_summary.csv	row Female, cols RA+HC	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-044.Female	% of transcriptome significant, Female	32.6%	DEG_summary.csv	significant / genes_tested	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-040.Male	Significant DEGs, Male	5820	DEG_summary.csv	row Male, col significant	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-041.Male	Up in RA, Male	2510	DEG_summary.csv	row Male, col up_in_RA	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-042.Male	Down in RA, Male	3310	DEG_summary.csv	row Male, col down_in_RA	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-043.Male	n / RA / HC, Male	38 / 17 / 21	DEG_summary.csv	row Male, cols RA+HC	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-044.Male	% of transcriptome significant, Male	36.9%	DEG_summary.csv	significant / genes_tested	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-050.All	Array weight median [min-max], All	1.042 [0.380-2.055]	DEG_array_weights.csv	median/min/max of weight where comparison==All	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-051.All	Arrays with weight < 0.5, All	8	DEG_array_weights.csv	count weight<0.5 where comparison==All	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
